"Assessment Year From","Assessment Year To","County","Land Assessed Value","Improvements Assessed Value","Personal Property Assessed Value","Exemptions","Net Total","Year To Year Change (%)"
"2025","2026","Monterey","47121091000","51075946000","3536478000","3365892000","98367623000","4.7"
"2025","2026","Napa","24920493000","33413036000","1897547000","1951961000","58279115000","4.2"
"2025","2026","Nevada","8400889000","20695630000","555243000","651336000","29000426000","4.9"
"2025","2026","Orange","546259879000","310860395000","23447304000","17731425000","862836153000","5.1"
"2025","2026","Placer","35467881000","85349759000","2787885000","3752728000","119852796000","6.1"
"2025","2026","Plumas","1882563000","4551932000","164218000","82578000","6516135000","5.9"
"2025","2026","Riverside","122111851000","336564620000","11261733000","10168224000","459769980000","6.3"
"2025","2026","Sacramento","68978462000","181878349000","8336957000","11404358000","247789410000","5.3"
"2025","2026","San Benito","5485474000","8588421000","720760000","259768000","14534887000","6.9"
"2025","2026","San Bernardino","110440491000","260316590000","15256620000","11967422000","374046278000","5.9"
"2025","2026","San Diego","389637118000","408029781000","27187711000","29054705000","795799904000","4.9"
"2025","2026","San Francisco","180076874000","195181634000","7007925000","23439643000","358826790000","1.9"
"2025","2026","San Joaquin","37577296000","86450476000","7176577000","3429972000","127774378000","7.2"
"2025","2026","San Luis Obispo","36803271000","42497139000","2143570000","1736385000","79707595000","4.7"
"2025","2026","San Mateo","167288262000","176151951000","11657329000","9912773000","345184770000","4.9"
"2025","2026","Santa Barbara","56877144000","66524368000","4623213000","5387086000","122637640000","5.1"
"2025","2026","Santa Clara","375802247000","356507607000","38427377000","38762965000","731974265000","4.2"
"2025","2026","Santa Cruz","38674699000","27597458000","1166558000","1988689000","65450026000","6"
"2025","2026","Shasta","6695645000","20071747000","1611383000","1187464000","27191310000","4.5"
"2025","2026","Sierra","323539000","525701000","25622000","25708000","849154000","3.9"
"2025","2026","Siskiyou","2074474000","4727516000","477328000","309395000","6969923000","4.6"
"2025","2026","Solano","21829384000","58897917000","2677124000","3746099000","79658327000","5.6"
"2025","2026","Sonoma","50262378000","79280398000","3804555000","3982272000","129365058000","5.5"
"2025","2026","Stanislaus","24051467000","48818460000","3430010000","2571613000","73728325000","4.6"
"2025","2026","Sutter","4943732000","9259074000","768290000","516206000","14454890000","4.5"
"2025","2026","Tehama","2520358000","5804266000","644162000","274464000","8694322000","4.4"
"2025","2026","Trinity","1040423000","1265883000","129449000","41496000","2394259000","2.4"
"2025","2026","Tulare","13627863000","40083247000","3516574000","1626964000","55600720000","6.2"
"2025","2026","Tuolumne","2959179000","7385572000","405986000","351809000","10398928000","3.9"
"2025","2026","Ventura","95877832000","94120834000","6445185000","5349990000","191093860000","4.4"
"2025","2026","Yolo","11942035000","29460115000","1632812000","2108214000","40926748000","4.6"
"2025","2026","Yuba","2936172000","8089246000","586183000","976363000","10635238000","7"
"2024","2025","Alameda","129636303000","294941107000","16775233000","14484785000","426867859000","4.9"
"2024","2025","Alpine","278045000","667007000","22599000","1162000","966490000","3.8"
"2024","2025","Amador","2351050000","4895384000","196461000","210883000","7232011000","3.8"
"2024","2025","Butte","10709769000","19752687000","1310440000","1754154000","30018742000","2.7"
"2024","2025","Calaveras","2437225000","7905892000","226276000","178008000","10391385000","4.7"
"2024","2025","Colusa","1931062000","3137198000","447798000","88949000","5427110000","4.9"
"2024","2025","Contra Costa","131360318000","157563404000","4723423000","9702373000","283944772000","4.2"
"2024","2025","Del Norte","1040096000","1746717000","129603000","190916000","2725499000","5.8"
"2024","2025","El Dorado","13841498000","32074151000","1054480000","924834000","46045295000","4.7"
"2024","2025","Fresno","31958802000","83270749000","6309940000","5058873000","116480617000","5.5"
"2024","2025","Glenn","1590823000","2483331000","482973000","89113000","4468014000","-1.4"
"2024","2025","Humboldt","6926919000","11510475000","926230000","901349000","18462275000","5"
"2024","2025","Imperial","5929061000","10733377000","1721247000","622236000","17761449000","5.9"
"2024","2025","Inyo","4172431000","1965525000","231823000","87090000","6282690000","5.2"
"2024","2025","Kern","34163462000","90922400000","4992503000","3512797000","126565568000","2.3"
"2024","2025","Kings","4609353000","11161159000","1361788000","754886000","16377413000","10.3"
"2024","2025","Lake","3594683000","6664377000","310369000","449296000","10120132000","4.7"
"2024","2025","Lassen","964693000","1893337000","184427000","114635000","2927822000","3.3"
"2024","2025","Los Angeles","1166142960000","967667979000","72871964000","77240197000","2129442706000","4.8"
"2024","2025","Madera","6004130000","15546193000","1400737000","1080752000","21870308000","6.1"
"2024","2025","Marin","54404556000","54039852000","1631810000","3163117000","106913100000","4.3"
"2024","2025","Mariposa","1141349000","2152914000","62436000","61151000","3295548000","5"
"2024","2025","Mendocino","6371615000","8675716000","815103000","488915000","15373519000","5.6"
"2024","2025","Merced","11044167000","24537111000","1772111000","1127946000","36225443000","5"
"2024","2025","Modoc","587509000","720292000","179880000","23792000","1463888000","2.7"
"2024","2025","Mono","2795663000","6110575000","206367000","63360000","9049245000","6.3"
"2024","2025","Monterey","45118991000","48724451000","3262194000","3197970000","93907666000","5.1"
"2024","2025","Napa","24240471000","31734095000","1814662000","1879433000","55909794000","4.7"
"2024","2025","Nevada","8131585000","19586788000","547995000","613961000","27652408000","4.8"
"2024","2025","Orange","515609954000","300578674000","23130049000","18087977000","821230700000","5.3"
"2024","2025","Placer","33601658000","80281663000","2666962000","3565104000","112985179000","5.9"
"2024","2025","Plumas","1808600000","4185529000","229117000","69863000","6153383000","6.1"
"2024","2025","Riverside","114244450000","316903489000","10742438000","9172288000","432718089000","6.9"
"2024","2025","Sacramento","65685801000","172718304000","7495203000","10564914000","235334394000","5.2"
"2024","2025","San Benito","5247079000","7895258000","698156000","246426000","13594066000","6.5"
"2024","2025","San Bernardino","103913218000","246535279000","14238513000","11586201000","353100808000","7.2"
"2024","2025","San Diego","367270870000","392026311000","26447442000","26908359000","758836264000","5.4"
"2024","2025","San Francisco","175066163000","192276499000","7330124000","22404528000","352268259000","2.2"
"2024","2025","San Joaquin","34960796000","81167405000","6327559000","3231328000","119224433000","7.4"
"2024","2025","San Luis Obispo","35201729000","40543525000","1879756000","1485768000","76139241000","4.8"
"2024","2025","San Mateo","158858776000","168272828000","11173451000","9094448000","329210607000","5.8"
"2024","2025","Santa Barbara","54389499000","63005620000","4430107000","5129143000","116696083000","5.4"
"2024","2025","Santa Clara","354929825000","347391447000","36769779000","36472002000","702619049000","5.4"
"2024","2025","Santa Cruz","35927196000","26604879000","1154038000","1946453000","61739658000","4.5"
"2024","2025","Shasta","6533777000","19070006000","1567140000","1149555000","26021368000","4.8"
"2024","2025","Sierra","319208000","497659000","24684000","24647000","816904000","4.1"
"2024","2025","Siskiyou","2011124000","4410666000","505291000","262738000","6664342000","5.9"
"2024","2025","Solano","20412843000","55921709000","2800275000","3733163000","75401664000","5.2"
"2024","2025","Sonoma","47670430000","74747953000","3869719000","3695068000","122593034000","5.2"
"2024","2025","Stanislaus","23038947000","46529466000","3355281000","2434649000","70489045000","6"
"2024","2025","Sutter","4785496000","8765731000","768886000","491931000","13828181000","5.5"
"2024","2025","Tehama","2440706000","5471665000","672644000","255826000","8329189000","4.2"
"2024","2025","Trinity","1044617000","1224902000","107251000","39011000","2337759000","4.1"
"2024","2025","Tulare","12989936000","37503161000","3303030000","1416897000","52379230000","8.4"
"2024","2025","Tuolumne","2884047000","7074868000","389890000","336373000","10012432000","5"
"2024","2025","Ventura","91593227000","90771018000","5856175000","5252939000","182967482000","4.4"
"2024","2025","Yolo","11580420000","28361930000","1488788000","2311724000","39119413000","5.2"
"2024","2025","Yuba","2785828000","7523800000","537245000","908895000","9937978000","7.8"
"2023","2024","Alameda","123856535000","280267623000","15905490000","13268375000","406761274000","7.1"
"2023","2024","Alpine","272311000","632998000","26797000","581000","931526000","5.3"
"2023","2024","Amador","2300393000","4664306000","206073000","204532000","6966240000","6.8"
"2023","2024","Butte","10315288000","18883068000","1520456000","1501945000","29216867000","8.2"
"2023","2024","Calaveras","2362536000","7505260000","212929000","158709000","9922017000","8.7"
"2023","2024","Colusa","1802412000","3029817000","428557000","86099000","5174687000","6.3"
"2023","2024","Contra Costa","125265701000","151352736000","4653812000","8695240000","272577010000","6.3"
"2023","2024","Del Norte","992013000","1634725000","122081000","173372000","2575446000","8.5"
"2023","2024","El Dorado","13273045000","30565085000","1027234000","868932000","43996433000","6.3"
"2023","2024","Fresno","30460012000","78753869000","6050084000","4855267000","110408698000","7"
"2023","2024","Glenn","1551727000","2474179000","591456000","84862000","4532499000","4.4"
"2023","2024","Humboldt","6691297000","10887789000","852869000","849282000","17582673000","6"
"2023","2024","Imperial","5685901000","10181435000","1585071000","681391000","16771016000","6.1"
"2023","2024","Inyo","3922294000","1897235000","228740000","75279000","5972990000","6.1"
"2023","2024","Kern","35633591000","86874562000","4540280000","3294401000","123754032000","7.2"
"2023","2024","Kings","4109152000","10296536000","1149163000","704968000","14849883000","8.4"
"2023","2024","Lake","3522798000","6242774000","300152000","403225000","9662498000","5.7"
"2023","2024","Lassen","947605000","1827406000","164908000","104401000","2835518000","3.2"
"2023","2024","Los Angeles","1105804668000","922364033000","68718517000","65785570000","2031101647000","5.9"
"2023","2024","Madera","5865200000","14445743000","1337660000","1043911000","20604692000","8.8"
"2023","2024","Marin","51973721000","51772083000","1631803000","2874190000","102503417000","6.3"
"2023","2024","Mariposa","1104623000","1992534000","100789000","59452000","3138493000","5.6"
"2023","2024","Mendocino","6075855000","8196526000","752530000","472105000","14552805000","4.2"
"2023","2024","Merced","10516036000","23377146000","1681239000","1077101000","34497319000","7.3"
"2023","2024","Modoc","577197000","693302000","178852000","23992000","1425360000","6.2"
"2023","2024","Mono","2684532000","5699290000","181348000","55042000","8510127000","7.6"
"2023","2024","Monterey","43248233000","46147669000","3009959000","3082500000","89323361000","5.8"
"2023","2024","Napa","23022977000","30176080000","1755226000","1548145000","53406139000","8.2"
"2023","2024","Nevada","7866627000","18586260000","555012000","611965000","26395934000","6.4"
"2023","2024","Orange","486252767000","289327235000","21629054000","17317107000","779891950000","6.2"
"2023","2024","Placer","31869555000","75556402000","2572711000","3337746000","106660923000","6.9"
"2023","2024","Plumas","1685226000","4014090000","174204000","74033000","5799486000","10.3"
"2023","2024","Riverside","107525457000","295659754000","9907907000","8277154000","404815964000","9.6"
"2023","2024","Sacramento","62753868000","164069159000","6936442000","10030173000","223729297000","7.2"
"2023","2024","San Benito","5014879000","7356614000","630597000","239695000","12762394000","8.2"
"2023","2024","San Bernardino","96669405000","230646834000","13420843000","11206879000","329530203000","9.6"
"2023","2024","San Diego","345552666000","374131172000","25145706000","24670046000","720159497000","7.2"
"2023","2024","San Francisco","170818346000","187375095000","7422471000","20887159000","344728753000","4.7"
"2023","2024","San Joaquin","32466694000","75696415000","5858012000","3052408000","110968713000","9.2"
"2023","2024","San Luis Obispo","33528253000","38655058000","1866907000","1372534000","72677684000","5.8"
"2023","2024","San Mateo","150215270000","159425360000","11115907000","9526450000","311230087000","6.9"
"2023","2024","Santa Barbara","51888470000","59576389000","4276187000","4988946000","110752101000","6.9"
"2023","2024","Santa Clara","335016870000","331556663000","34970383000","35001008000","666542907000","6.7"
"2023","2024","Santa Cruz","34298248000","25471470000","1077942000","1749272000","59098388000","5.5"
"2023","2024","Shasta","6373223000","18109874000","1388909000","1037833000","24834172000","6.6"
"2023","2024","Sierra","311985000","474035000","23097000","24211000","784905000","6.4"
"2023","2024","Siskiyou","1951182000","4164086000","440643000","261972000","6293939000","6.1"
"2023","2024","Solano","19262755000","52432686000","3328009000","3342053000","71681397000","5.3"
"2023","2024","Sonoma","45495594000","70669589000","3844737000","3508409000","116501511000","5.7"
"2023","2024","Stanislaus","21653775000","43949734000","3265291000","2395051000","66473749000","6.7"
"2023","2024","Sutter","4463346000","8405834000","697172000","455871000","13110481000","7.6"
"2023","2024","Tehama","2396814000","5277138000","561969000","241925000","7993997000","5.7"
"2023","2024","Trinity","1016619000","1177325000","84501000","32659000","2245786000","7.6"
"2023","2024","Tulare","12152415000","34498966000","3010602000","1326660000","48335323000","6.5"
"2023","2024","Tuolumne","2803874000","6727830000","335959000","327523000","9540140000","5.1"
"2023","2024","Ventura","87504459000","87117854000","5632852000","4947373000","175307792000","5.8"
"2023","2024","Yolo","11125549000","26619775000","1374094000","1930977000","37188441000","6.9"
"2023","2024","Yuba","2624426000","6952916000","487373000","845628000","9219088000","10.2"
"2022","2023","Alameda","116658897000","261298954000","13528126000","11532445000","379953532000","8.1"
"2022","2023","Alpine","264908000","597001000","23131000","346000","884694000","7"
"2022","2023","Amador","2162254000","4371972000","184436000","197536000","6521127000","6.9"
"2022","2023","Butte","9676372000","17364574000","1401926000","1447128000","26995744000","7.1"
"2022","2023","Calaveras","2237698000","6910702000","119758000","139516000","9128643000","7.5"
"2022","2023","Colusa","1713936000","2869597000","370399000","83940000","4869993000","4.5"
"2022","2023","Contra Costa","116996438000","143389795000","4273500000","8246911000","256412823000","7.8"
"2022","2023","Del Norte","934815000","1492208000","110632000","164588000","2373067000","8.8"
"2022","2023","El Dorado","12590972000","28654008000","943306000","810103000","41378183000","7.3"
"2022","2023","Fresno","28808651000","73388422000","5250294000","4232763000","103214604000","8.3"
"2022","2023","Glenn","1453074000","2360242000","606376000","78067000","4341625000","7.4"
"2022","2023","Humboldt","6320951000","10264047000","798346000","800380000","16582964000","4.8"
"2022","2023","Imperial","5402523000","9650176000","1370635000","623665000","15799670000","5.5"
"2022","2023","Inyo","3644065000","1938276000","123850000","76156000","5630036000","8.7"
"2022","2023","Kern","33904553000","80494663000","4104923000","3016575000","115487563000","11.4"
"2022","2023","Kings","3801136000","9531304000","986453000","621534000","13697358000","4.6"
"2022","2023","Lake","3415257000","5789089000","263610000","324488000","9143469000","11.4"
"2022","2023","Lassen","929071000","1769793000","143246000","94619000","2747493000","0.5"
"2022","2023","Los Angeles","1039370209000","874725866000","63241537000","59268925000","1918068687000","7"
"2022","2023","Madera","5407966000","13343644000","1138307000","957725000","18932191000","7.4"
"2022","2023","Marin","48833415000","48761566000","1514019000","2700701000","96408298000","6.6"
"2022","2023","Mariposa","1075051000","1845550000","91538000","41281000","2970858000","6.6"
"2022","2023","Mendocino","5822020000","7884085000","708482000","454156000","13960431000","3.2"
"2022","2023","Merced","9861481000","21747470000","1504456000","967825000","32145581000","9"
"2022","2023","Modoc","561091000","650390000","153959000","23081000","1342360000","4.9"
"2022","2023","Mono","2494141000","5288448000","172014000","48955000","7905648000","9.7"
"2022","2023","Monterey","41162126000","43445106000","2717119000","2929117000","84395234000","8.3"
"2022","2023","Napa","21088474000","28251556000","1616015000","1617279000","49338766000","7.1"
"2022","2023","Nevada","7541640000","17413143000","460301000","596541000","24818543000","7.1"
"2022","2023","Orange","451092428000","278591965000","20045347000","15373983000","734355757000","6.5"
"2022","2023","Placer","30076548000","70428646000","2392754000","3137687000","99760260000","9.1"
"2022","2023","Plumas","1596247000","3564355000","154231000","58423000","5256410000","4.8"
"2022","2023","Riverside","100868977000","267951507000","8824296000","8349546000","369295234000","9.6"
"2022","2023","Sacramento","58848376000","152015616000","6660445000","8903377000","208621060000","8"
"2022","2023","San Benito","4652656000","6788724000","577349000","218360000","11800369000","11.2"
"2022","2023","San Bernardino","86923489000","212283064000","11980517000","10469076000","300717993000","9.4"
"2022","2023","San Diego","318629850000","354352821000","22087135000","23086581000","671983225000","8.4"
"2022","2023","San Francisco","163272213000","179657404000","7074606000","20620994000","329383229000","5.3"
"2022","2023","San Joaquin","30423632000","68814086000","5306987000","2896148000","101648557000","9.3"
"2022","2023","San Luis Obispo","31564818000","36724980000","1721751000","1311969000","68699580000","4.7"
"2022","2023","San Mateo","140558535000","149757911000","9838932000","8898023000","291257355000","8.3"
"2022","2023","Santa Barbara","49005666000","55912909000","3691843000","5054556000","103555862000","7.9"
"2022","2023","Santa Clara","313250188000","313380405000","31907391000","33561893000","624976090000","7.4"
"2022","2023","Santa Cruz","32403983000","24431997000","979223000","1773802000","56041400000","6.3"
"2022","2023","Shasta","6117442000","16811794000","1281742000","905904000","23305074000","7.5"
"2022","2023","Sierra","300582000","437487000","22213000","22496000","737787000","5.8"
"2022","2023","Siskiyou","1871020000","3928330000","405887000","274417000","5930821000","6.7"
"2022","2023","Solano","18069986000","51131815000","2296289000","3400413000","68097677000","6.6"
"2022","2023","Sonoma","43362782000","66881443000","3318051000","3303955000","110258321000","6.4"
"2022","2023","Stanislaus","19972806000","41779277000","2863146000","2304695000","62310535000","6.8"
"2022","2023","Sutter","4172313000","7812983000","628048000","423850000","12189493000","7.3"
"2022","2023","Tehama","2312236000","4976552000","500033000","225053000","7563769000","7.2"
"2022","2023","Trinity","976809000","1077404000","64147000","31282000","2087078000","7.2"
"2022","2023","Tulare","11540078000","32425000000","2611015000","1193664000","45382428000","7.1"
"2022","2023","Tuolumne","2705756000","6343758000","340677000","312970000","9077221000","6.7"
"2022","2023","Ventura","82293876000","82882097000","5067013000","4571971000","165671014000","7.3"
"2022","2023","Yolo","10636536000","24763076000","1233230000","1828931000","34803911000","7.2"
"2022","2023","Yuba","2424179000","6303716000","441136000","800793000","8368238000","10.6"
"2021","2022","Alameda","108882730000","241883694000","12378456000","11760846000","351384034000","4.7"
"2021","2022","Alpine","253364000","555056000","18978000","650000","826749000","2.8"
"2021","2022","Amador","2007434000","4222505000","163105000","290501000","6102543000","4.8"
"2021","2022","Butte","9052084000","16235381000","1293399000","1364293000","25216572000","4.3"
"2021","2022","Calaveras","2096232000","6413722000","115300000","131824000","8493429000","4.5"
"2021","2022","Colusa","1606052000","2762848000","365050000","75318000","4658632000","5"
"2021","2022","Contra Costa","107629418000","133813642000","4219188000","7782800000","237879447000","3.5"
"2021","2022","Del Norte","878215000","1363043000","100936000","161715000","2180479000","5.7"
"2021","2022","El Dorado","11897595000","26663836000","825300000","828311000","38558420000","4.6"
"2021","2022","Fresno","26807872000","67782511000","4828262000","4086703000","95331942000","4.3"
"2021","2022","Glenn","1367230000","2206551000","548017000","78572000","4043227000","4.2"
"2021","2022","Humboldt","6041824000","9888809000","716619000","818276000","15828976000","3.5"
"2021","2022","Imperial","5146331000","9131931000","1281695000","589851000","14970106000","2.3"
"2021","2022","Inyo","3383678000","1779396000","87855000","69310000","5181618000","2.2"
"2021","2022","Kern","29499883000","73248238000","3951818000","3032368000","103667570000","1.1"
"2021","2022","Kings","3695411000","9035307000","941770000","582924000","13089565000","4.5"
"2021","2022","Lake","3186149000","5083081000","229231000","288300000","8210161000","5.1"
"2021","2022","Lassen","909653000","1705944000","165133000","47751000","2732980000","7.3"
"2021","2022","Los Angeles","966337496000","828767814000","59402687000","61827291000","1792680706000","3.6"
"2021","2022","Madera","5016700000","12591189000","954830000","929269000","17633451000","5.3"
"2021","2022","Marin","45700744000","46047632000","1368435000","2639756000","90477056000","4"
"2021","2022","Mariposa","1026572000","1707442000","90856000","37617000","2787254000","3.2"
"2021","2022","Mendocino","5805343000","7575229000","606521000","453225000","13533868000","4.4"
"2021","2022","Merced","9133353000","19844804000","1403505000","896504000","29485158000","5.3"
"2021","2022","Modoc","542155000","615433000","142767000","20560000","1279796000","5.7"
"2021","2022","Mono","2336840000","4771736000","148841000","52054000","7205363000","5.2"
"2021","2022","Monterey","37791230000","40520399000","2462514000","2825750000","77948394000","3.9"
"2021","2022","Napa","19829756000","26269897000","1581463000","1600171000","46080944000","3.6"
"2021","2022","Nevada","7094112000","16196956000","386388000","512697000","23164759000","5.8"
"2021","2022","Orange","417751839000","269037984000","18500615000","15578739000","689711700000","3.9"
"2021","2022","Placer","27715661000","64540864000","2150854000","2967724000","91439654000","5.9"
"2021","2022","Plumas","1527738000","3403088000","147727000","61833000","5016720000","6.9"
"2021","2022","Riverside","94283289000","242544718000","8272117000","8039859000","337060265000","5.5"
"2021","2022","Sacramento","55073962000","140102268000","6171698000","8193321000","193154606000","5.3"
"2021","2022","San Benito","4232924000","6076636000","503764000","204911000","10608414000","6.8"
"2021","2022","San Bernardino","79308413000","194171516000","10966941000","9500500000","274946370000","6.2"
"2021","2022","San Diego","290490223000","332831891000","18536512000","22018557000","619840068000","3.3"
"2021","2022","San Francisco","153129361000","171930250000","7071306000","19410775000","312720142000","3.5"
"2021","2022","San Joaquin","27970608000","63431275000","4405966000","2850295000","92957554000","6.7"
"2021","2022","San Luis Obispo","29442044000","35739843000","1534302000","1127247000","65588942000","4.9"
"2021","2022","San Mateo","127988917000","139666183000","9425230000","8153390000","268926940000","4.2"
"2021","2022","Santa Barbara","45429047000","52089643000","3462675000","4993847000","95987519000","3.7"
"2021","2022","Santa Clara","287635875000","296112500000","29232124000","31333368000","581647131000","4.6"
"2021","2022","Santa Cruz","30038063000","23349314000","962299000","1637097000","52712579000","3.6"
"2021","2022","Shasta","5820321000","15669455000","1131677000","941910000","21679543000","5.5"
"2021","2022","Sierra","288856000","412899000","17272000","21991000","697037000","3.8"
"2021","2022","Siskiyou","1774358000","3690686000","374448000","279312000","5560180000","4"
"2021","2022","Solano","16850346000","48251600000","2101161000","3294911000","63908196000","3"
"2021","2022","Sonoma","40924939000","62643726000","3114079000","3087736000","103595008000","3.4"
"2021","2022","Stanislaus","18380459000","39446779000","2685771000","2171832000","58341177000","4.7"
"2021","2022","Sutter","3854888000","7237269000","639915000","376722000","11355349000","3.9"
"2021","2022","Tehama","2194372000","4632085000","449584000","220411000","7055630000","6.3"
"2021","2022","Trinity","905117000","1000367000","74485000","32277000","1947692000","6.1"
"2021","2022","Tulare","10957177000","30201963000","2406536000","1180544000","42385132000","5.2"
"2021","2022","Tuolumne","2565347000","5929936000","317301000","308976000","8503609000","4.1"
"2021","2022","Ventura","76431984000","77954600000","4544500000","4503080000","154428003000","3.7"
"2021","2022","Yolo","9945880000","23069051000","1187382000","1736362000","32465951000","4.5"
"2021","2022","Yuba","2190177000","5733897000","403655000","764043000","7563686000","8.4"
"2020","2021","Alameda","104121029000","230293843000","12699423000","11370006000","335744288000","6.8"
"2020","2021","Alpine","250102000","534902000","19580000","652000","803932000","2.9"
"2020","2021","Amador","1953762000","3907060000","135367000","170902000","5825287000","3.9"
"2020","2021","Butte","8667050000","15412440000","1270656000","1169131000","24181015000","5.9"
"2020","2021","Calaveras","2030874000","6089406000","140824000","131571000","8129533000","5.5"
"2020","2021","Colusa","1539052000","2637353000","338347000","79934000","4434818000","2.8"
"2020","2021","Contra Costa","102918845000","129926706000","4062275000","7062662000","229845164000","4.8"
"2020","2021","Del Norte","841623000","1280542000","99338000","158336000","2063166000","5.5"
"2020","2021","El Dorado","11474195000","25368286000","823872000","794252000","36872101000","4.9"
"2020","2021","Fresno","25833791000","64470188000","4600638000","3540760000","91363856000","5.3"
"2020","2021","Glenn","1301172000","2129563000","521212000","73222000","3878725000","6.1"
"2020","2021","Humboldt","5869725000","9490637000","702213000","768756000","15293820000","4.4"
"2020","2021","Imperial","5024770000","8886911000","1297615000","572673000","14636623000","3.1"
"2020","2021","Inyo","3223717000","1818820000","105307000","76657000","5071187000","6"
"2020","2021","Kern","30665656000","71055585000","3905984000","3049471000","102577754000","3.1"
"2020","2021","Kings","3502816000","8665428000","910992000","555885000","12523351000","5.3"
"2020","2021","Lake","3057971000","4790557000","227108000","260831000","7814805000","2.5"
"2020","2021","Lassen","889918000","1608801000","136374000","88928000","2546164000","2.5"
"2020","2021","Los Angeles","922780808000","804772207000","61939712000","58372336000","1731120391000","6"
"2020","2021","Madera","5032675000","11710598000","909120000","909476000","16742916000","5.8"
"2020","2021","Marin","43853118000","44329014000","1336089000","2530668000","86987553000","4.6"
"2020","2021","Mariposa","1004750000","1652358000","80260000","36442000","2700926000","5.6"
"2020","2021","Mendocino","5506482000","7267624000","634956000","442018000","12967044000","3.6"
"2020","2021","Merced","8581675000","18926145000","1381325000","890298000","27998848000","5.7"
"2020","2021","Modoc","529587000","594370000","111635000","25128000","1210464000","1.7"
"2020","2021","Mono","2236923000","4507378000","158165000","50956000","6851509000","5.2"
"2020","2021","Monterey","36524761000","38806018000","2385575000","2713849000","75002504000","3.9"
"2020","2021","Napa","18939519000","25473472000","1609482000","1539366000","44483107000","5.3"
"2020","2021","Nevada","6708082000","15273623000","399657000","478264000","21903098000","4.5"
"2020","2021","Orange","397393525000","261705919000","19777551000","14836625000","664040370000","4.7"
"2020","2021","Placer","26292058000","60635069000","2167664000","2712424000","86382366000","5.3"
"2020","2021","Plumas","1473055000","3160385000","128936000","69199000","4693177000","3.8"
"2020","2021","Riverside","90901829000","228498020000","7968013000","7782361000","319585502000","5.8"
"2020","2021","Sacramento","52498222000","132811274000","6129408000","8015473000","183423431000","5.8"
"2020","2021","San Benito","4004885000","5617644000","498571000","191955000","9929146000","6.8"
"2020","2021","San Bernardino","75138638000","182418974000","10565614000","9199660000","258923567000","5.8"
"2020","2021","San Diego","276732392000","322613307000","20294221000","19863980000","599775940000","5.5"
"2020","2021","San Francisco","147410264000","165740155000","7111130000","18249608000","302011940000","7.2"
"2020","2021","San Joaquin","26399692000","59298565000","4138969000","2724172000","87113054000","7.3"
"2020","2021","San Luis Obispo","28217548000","33756947000","1650198000","1091408000","62533286000","4.6"
"2020","2021","San Mateo","121240013000","134349235000","9623365000","7129195000","258083417000","7"
"2020","2021","Santa Barbara","43606455000","49899089000","3590683000","4573972000","92522256000","5.1"
"2020","2021","Santa Clara","273242295000","283609672000","30036694000","30823301000","556065360000","6.8"
"2020","2021","Santa Cruz","28679307000","22752847000","984931000","1530519000","50886566000","4.6"
"2020","2021","Shasta","5624066000","14744736000","1066333000","876459000","20558676000","5.2"
"2020","2021","Sierra","286845000","390608000","13921000","19839000","671536000","4"
